@category	MS-DOS
@display	CP869 (DOS Greek-2)
@name	CP869
@alias	DOS 869
@alias	DOS CP869
@alias	DOS Greek-2
@charset	IBM869
@charset	cp869
@charset	869
@charset	cp-gr
@charset	csIBM869
@codepage	869
@mibenum	2054
@filename-kte	cp869.kte
@filename-txt	VENDORS/MICSFT/PC/CP869.TXT
@verify-against	http://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/PC/CP869.TXT
@cite-author	Shawn Steele
@cite-title	cp869_DOSGreek2 to Unicode table
@cite-publisher	Microsoft Corp.
@cite-date	24 Apr 1996
@cite-url	http://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/PC/CP869.TXT
@import	fragments/ascii-all.txt
0x9F	0x03AF	# GREEK SMALL LETTER IOTA WITH TONOS
0xA0	0x03CA	# GREEK SMALL LETTER IOTA WITH DIALYTIKA
0xA1	0x0390	# GREEK SMALL LETTER IOTA WITH DIALYTIKA AND TONOS
0xA2	0x03CC	# GREEK SMALL LETTER OMICRON WITH TONOS
0xA3	0x03CD	# GREEK SMALL LETTER UPSILON WITH TONOS
0xA4	0x0391	# GREEK CAPITAL LETTER ALPHA
0xA5	0x0392	# GREEK CAPITAL LETTER BETA
0xA6	0x0393	# GREEK CAPITAL LETTER GAMMA
0xA7	0x0394	# GREEK CAPITAL LETTER DELTA
0xA8	0x0395	# GREEK CAPITAL LETTER EPSILON
0xA9	0x0396	# GREEK CAPITAL LETTER ZETA
0xAA	0x0397	# GREEK CAPITAL LETTER ETA
0xAB	0x00BD	# VULGAR FRACTION ONE HALF
0xAC	0x0398	# GREEK CAPITAL LETTER THETA
0xAD	0x0399	# GREEK CAPITAL LETTER IOTA
0xAE	0x00AB	# LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
0xAF	0x00BB	# RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
0xB0	0x2591	# LIGHT SHADE
0xB1	0x2592	# MEDIUM SHADE
0xB2	0x2593	# DARK SHADE
0xB3	0x2502	# BOX DRAWINGS LIGHT VERTICAL
0xB4	0x2524	# BOX DRAWINGS LIGHT VERTICAL AND LEFT
0xB5	0x039A	# GREEK CAPITAL LETTER KAPPA
0xB6	0x039B	# GREEK CAPITAL LETTER LAMDA
0xB7	0x039C	# GREEK CAPITAL LETTER MU
0xB8	0x039D	# GREEK CAPITAL LETTER NU
0xB9	0x2563	# BOX DRAWINGS DOUBLE VERTICAL AND LEFT
0xBA	0x2551	# BOX DRAWINGS DOUBLE VERTICAL
0xBB	0x2557	# BOX DRAWINGS DOUBLE DOWN AND LEFT
0xBC	0x255D	# BOX DRAWINGS DOUBLE UP AND LEFT
0xBD	0x039E	# GREEK CAPITAL LETTER XI
0xBE	0x039F	# GREEK CAPITAL LETTER OMICRON
0xBF	0x2510	# BOX DRAWINGS LIGHT DOWN AND LEFT
0xC0	0x2514	# BOX DRAWINGS LIGHT UP AND RIGHT
0xC1	0x2534	# BOX DRAWINGS LIGHT UP AND HORIZONTAL
0xC2	0x252C	# BOX DRAWINGS LIGHT DOWN AND HORIZONTAL
0xC3	0x251C	# BOX DRAWINGS LIGHT VERTICAL AND RIGHT
0xC4	0x2500	# BOX DRAWINGS LIGHT HORIZONTAL
0xC5	0x253C	# BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL
0xC6	0x03A0	# GREEK CAPITAL LETTER PI
0xC7	0x03A1	# GREEK CAPITAL LETTER RHO
0xC8	0x255A	# BOX DRAWINGS DOUBLE UP AND RIGHT
0xC9	0x2554	# BOX DRAWINGS DOUBLE DOWN AND RIGHT
0xCA	0x2569	# BOX DRAWINGS DOUBLE UP AND HORIZONTAL
0xCB	0x2566	# BOX DRAWINGS DOUBLE DOWN AND HORIZONTAL
0xCC	0x2560	# BOX DRAWINGS DOUBLE VERTICAL AND RIGHT
0xCD	0x2550	# BOX DRAWINGS DOUBLE HORIZONTAL
0xCE	0x256C	# BOX DRAWINGS DOUBLE VERTICAL AND HORIZONTAL
0xCF	0x03A3	# GREEK CAPITAL LETTER SIGMA
0xD0	0x03A4	# GREEK CAPITAL LETTER TAU
0xD1	0x03A5	# GREEK CAPITAL LETTER UPSILON
0xD2	0x03A6	# GREEK CAPITAL LETTER PHI
0xD3	0x03A7	# GREEK CAPITAL LETTER CHI
0xD4	0x03A8	# GREEK CAPITAL LETTER PSI
0xD5	0x03A9	# GREEK CAPITAL LETTER OMEGA
0xD6	0x03B1	# GREEK SMALL LETTER ALPHA
0xD7	0x03B2	# GREEK SMALL LETTER BETA
0xD8	0x03B3	# GREEK SMALL LETTER GAMMA
0xD9	0x2518	# BOX DRAWINGS LIGHT UP AND LEFT
0xDA	0x250C	# BOX DRAWINGS LIGHT DOWN AND RIGHT
0xDB	0x2588	# FULL BLOCK
0xDC	0x2584	# LOWER HALF BLOCK
0xDD	0x03B4	# GREEK SMALL LETTER DELTA
0xDE	0x03B5	# GREEK SMALL LETTER EPSILON
0xDF	0x2580	# UPPER HALF BLOCK
0xE0	0x03B6	# GREEK SMALL LETTER ZETA
0xE1	0x03B7	# GREEK SMALL LETTER ETA
0xE2	0x03B8	# GREEK SMALL LETTER THETA
0xE3	0x03B9	# GREEK SMALL LETTER IOTA
0xE4	0x03BA	# GREEK SMALL LETTER KAPPA
0xE5	0x03BB	# GREEK SMALL LETTER LAMDA
0xE6	0x03BC	# GREEK SMALL LETTER MU
0xE7	0x03BD	# GREEK SMALL LETTER NU
0xE8	0x03BE	# GREEK SMALL LETTER XI
0xE9	0x03BF	# GREEK SMALL LETTER OMICRON
0xEA	0x03C0	# GREEK SMALL LETTER PI
0xEB	0x03C1	# GREEK SMALL LETTER RHO
0xEC	0x03C3	# GREEK SMALL LETTER SIGMA
0xED	0x03C2	# GREEK SMALL LETTER FINAL SIGMA
0xEE	0x03C4	# GREEK SMALL LETTER TAU
0xEF	0x0384	# GREEK TONOS
0xF0	0x00AD	# SOFT HYPHEN
0xF1	0x00B1	# PLUS-MINUS SIGN
0xF2	0x03C5	# GREEK SMALL LETTER UPSILON
0xF3	0x03C6	# GREEK SMALL LETTER PHI
0xF4	0x03C7	# GREEK SMALL LETTER CHI
0xF5	0x00A7	# SECTION SIGN
0xF6	0x03C8	# GREEK SMALL LETTER PSI
0xF7	0x0385	# GREEK DIALYTIKA TONOS
0xF8	0x00B0	# DEGREE SIGN
0xF9	0x00A8	# DIAERESIS
0xFA	0x03C9	# GREEK SMALL LETTER OMEGA
0xFB	0x03CB	# GREEK SMALL LETTER UPSILON WITH DIALYTIKA
0xFC	0x03B0	# GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND TONOS
0xFD	0x03CE	# GREEK SMALL LETTER OMEGA WITH TONOS
0xFE	0x25A0	# BLACK SQUARE
0xFF	0x00A0	# NO-BREAK SPACE
