@category	MS-DOS
@display	CP864 (DOS Arabic)
@name	CP864
@alias	DOS 864
@alias	DOS CP864
@alias	DOS Arabic
@charset	IBM864
@charset	cp864
@charset	csIBM864
@codepage	864
@mibenum	2051
@filename-kte	cp864.kte
@filename-txt	VENDORS/MICSFT/PC/CP864.TXT
@verify-against	http://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/PC/CP864.TXT
@cite-author	Shawn Steele
@cite-title	cp864_DOSArabic to Unicode table
@cite-publisher	Microsoft Corp.
@cite-date	24 Apr 1996
@cite-url	http://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/PC/CP864.TXT
@import	fragments/ascii-c0.txt
0xA2	0xFE82	# ARABIC LETTER ALEF WITH MADDA ABOVE FINAL FORM
0xA3	0x00A3	# POUND SIGN
0xA4	0x00A4	# CURRENCY SIGN
0xA5	0xFE84	# ARABIC LETTER ALEF WITH HAMZA ABOVE FINAL FORM
0xA8	0xFE8E	# ARABIC LETTER ALEF FINAL FORM
0xA9	0xFE8F	# ARABIC LETTER BEH ISOLATED FORM
0xAA	0xFE95	# ARABIC LETTER TEH ISOLATED FORM
0xAB	0xFE99	# ARABIC LETTER THEH ISOLATED FORM
0xAC	0x060C	# ARABIC COMMA
0xAD	0xFE9D	# ARABIC LETTER JEEM ISOLATED FORM
0xAE	0xFEA1	# ARABIC LETTER HAH ISOLATED FORM
0xAF	0xFEA5	# ARABIC LETTER KHAH ISOLATED FORM
0xB0	0x0660	# ARABIC-INDIC DIGIT ZERO
0xB1	0x0661	# ARABIC-INDIC DIGIT ONE
0xB2	0x0662	# ARABIC-INDIC DIGIT TWO
0xB3	0x0663	# ARABIC-INDIC DIGIT THREE
0xB4	0x0664	# ARABIC-INDIC DIGIT FOUR
0xB5	0x0665	# ARABIC-INDIC DIGIT FIVE
0xB6	0x0666	# ARABIC-INDIC DIGIT SIX
0xB7	0x0667	# ARABIC-INDIC DIGIT SEVEN
0xB8	0x0668	# ARABIC-INDIC DIGIT EIGHT
0xB9	0x0669	# ARABIC-INDIC DIGIT NINE
0xBA	0xFED1	# ARABIC LETTER FEH ISOLATED FORM
0xBB	0x061B	# ARABIC SEMICOLON
0xBC	0xFEB1	# ARABIC LETTER SEEN ISOLATED FORM
0xBD	0xFEB5	# ARABIC LETTER SHEEN ISOLATED FORM
0xBE	0xFEB9	# ARABIC LETTER SAD ISOLATED FORM
0xBF	0x061F	# ARABIC QUESTION MARK
0xC0	0x00A2	# CENT SIGN
0xC1	0xFE80	# ARABIC LETTER HAMZA ISOLATED FORM
0xC2	0xFE81	# ARABIC LETTER ALEF WITH MADDA ABOVE ISOLATED FORM
0xC3	0xFE83	# ARABIC LETTER ALEF WITH HAMZA ABOVE ISOLATED FORM
0xC4	0xFE85	# ARABIC LETTER WAW WITH HAMZA ABOVE ISOLATED FORM
0xC5	0xFECA	# ARABIC LETTER AIN FINAL FORM
0xC6	0xFE8B	# ARABIC LETTER YEH WITH HAMZA ABOVE INITIAL FORM
0xC7	0xFE8D	# ARABIC LETTER ALEF ISOLATED FORM
0xC8	0xFE91	# ARABIC LETTER BEH INITIAL FORM
0xC9	0xFE93	# ARABIC LETTER TEH MARBUTA ISOLATED FORM
0xCA	0xFE97	# ARABIC LETTER TEH INITIAL FORM
0xCB	0xFE9B	# ARABIC LETTER THEH INITIAL FORM
0xCC	0xFE9F	# ARABIC LETTER JEEM INITIAL FORM
0xCD	0xFEA3	# ARABIC LETTER HAH INITIAL FORM
0xCE	0xFEA7	# ARABIC LETTER KHAH INITIAL FORM
0xCF	0xFEA9	# ARABIC LETTER DAL ISOLATED FORM
0xD0	0xFEAB	# ARABIC LETTER THAL ISOLATED FORM
0xD1	0xFEAD	# ARABIC LETTER REH ISOLATED FORM
0xD2	0xFEAF	# ARABIC LETTER ZAIN ISOLATED FORM
0xD3	0xFEB3	# ARABIC LETTER SEEN INITIAL FORM
0xD4	0xFEB7	# ARABIC LETTER SHEEN INITIAL FORM
0xD5	0xFEBB	# ARABIC LETTER SAD INITIAL FORM
0xD6	0xFEBF	# ARABIC LETTER DAD INITIAL FORM
0xD7	0xFEC1	# ARABIC LETTER TAH ISOLATED FORM
0xD8	0xFEC5	# ARABIC LETTER ZAH ISOLATED FORM
0xD9	0xFECB	# ARABIC LETTER AIN INITIAL FORM
0xDA	0xFECF	# ARABIC LETTER GHAIN INITIAL FORM
0xDB	0x00A6	# BROKEN BAR
0xDC	0x00AC	# NOT SIGN
0xDD	0x00F7	# DIVISION SIGN
0xDE	0x00D7	# MULTIPLICATION SIGN
0xDF	0xFEC9	# ARABIC LETTER AIN ISOLATED FORM
0xE0	0x0640	# ARABIC TATWEEL
0xE1	0xFED3	# ARABIC LETTER FEH INITIAL FORM
0xE2	0xFED7	# ARABIC LETTER QAF INITIAL FORM
0xE3	0xFEDB	# ARABIC LETTER KAF INITIAL FORM
0xE4	0xFEDF	# ARABIC LETTER LAM INITIAL FORM
0xE5	0xFEE3	# ARABIC LETTER MEEM INITIAL FORM
0xE6	0xFEE7	# ARABIC LETTER NOON INITIAL FORM
0xE7	0xFEEB	# ARABIC LETTER HEH INITIAL FORM
0xE8	0xFEED	# ARABIC LETTER WAW ISOLATED FORM
0xE9	0xFEEF	# ARABIC LETTER ALEF MAKSURA ISOLATED FORM
0xEA	0xFEF3	# ARABIC LETTER YEH INITIAL FORM
0xEB	0xFEBD	# ARABIC LETTER DAD ISOLATED FORM
0xEC	0xFECC	# ARABIC LETTER AIN MEDIAL FORM
0xED	0xFECE	# ARABIC LETTER GHAIN FINAL FORM
0xEE	0xFECD	# ARABIC LETTER GHAIN ISOLATED FORM
0xEF	0xFEE1	# ARABIC LETTER MEEM ISOLATED FORM
0xF0	0xFE7D	# ARABIC SHADDA MEDIAL FORM
0xF1	0x0651	# ARABIC SHADDA
0xF2	0xFEE5	# ARABIC LETTER NOON ISOLATED FORM
0xF3	0xFEE9	# ARABIC LETTER HEH ISOLATED FORM
0xF4	0xFEEC	# ARABIC LETTER HEH MEDIAL FORM
0xF5	0xFEF0	# ARABIC LETTER ALEF MAKSURA FINAL FORM
0xF6	0xFEF2	# ARABIC LETTER YEH FINAL FORM
0xF7	0xFED0	# ARABIC LETTER GHAIN MEDIAL FORM
0xF8	0xFED5	# ARABIC LETTER QAF ISOLATED FORM
0xF9	0xFEF5	# ARABIC LIGATURE LAM WITH ALEF WITH MADDA ABOVE ISOLATED FORM
0xFA	0xFEF6	# ARABIC LIGATURE LAM WITH ALEF WITH MADDA ABOVE FINAL FORM
0xFB	0xFEDD	# ARABIC LETTER LAM ISOLATED FORM
0xFC	0xFED9	# ARABIC LETTER KAF ISOLATED FORM
0xFD	0xFEF1	# ARABIC LETTER YEH ISOLATED FORM
0xFE	0x25A0	# BLACK SQUARE
