@category	MS-DOS
@display	CP852 (DOS Latin-2)
@name	CP852
@alias	DOS 852
@alias	DOS CP852
@alias	DOS Latin-2
@charset	IBM852
@charset	cp852
@charset	852
@charset	csPCp852
@codepage	852
@mibenum	2010
@filename-kte	cp852.kte
@filename-txt	VENDORS/MICSFT/PC/CP852.TXT
@verify-against	http://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/PC/CP852.TXT
@cite-author	Shawn Steele
@cite-title	cp852_DOSLatin2 to Unicode table
@cite-publisher	Microsoft Corp.
@cite-date	24 Apr 1996
@cite-url	http://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/PC/CP852.TXT
@import	fragments/ascii-all.txt
0xA9	0x0119	# LATIN SMALL LETTER E WITH OGONEK
0xAA	0x00AC	# NOT SIGN
0xAB	0x017A	# LATIN SMALL LETTER Z WITH ACUTE
0xAC	0x010C	# LATIN CAPITAL LETTER C WITH CARON
0xAD	0x015F	# LATIN SMALL LETTER S WITH CEDILLA
0xAE	0x00AB	# LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
0xAF	0x00BB	# RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
0xB0	0x2591	# LIGHT SHADE
0xB1	0x2592	# MEDIUM SHADE
0xB2	0x2593	# DARK SHADE
0xB3	0x2502	# BOX DRAWINGS LIGHT VERTICAL
0xB4	0x2524	# BOX DRAWINGS LIGHT VERTICAL AND LEFT
0xB5	0x00C1	# LATIN CAPITAL LETTER A WITH ACUTE
0xB6	0x00C2	# LATIN CAPITAL LETTER A WITH CIRCUMFLEX
0xB7	0x011A	# LATIN CAPITAL LETTER E WITH CARON
0xB8	0x015E	# LATIN CAPITAL LETTER S WITH CEDILLA
0xB9	0x2563	# BOX DRAWINGS DOUBLE VERTICAL AND LEFT
0xBA	0x2551	# BOX DRAWINGS DOUBLE VERTICAL
0xBB	0x2557	# BOX DRAWINGS DOUBLE DOWN AND LEFT
0xBC	0x255D	# BOX DRAWINGS DOUBLE UP AND LEFT
0xBD	0x017B	# LATIN CAPITAL LETTER Z WITH DOT ABOVE
0xBE	0x017C	# LATIN SMALL LETTER Z WITH DOT ABOVE
0xBF	0x2510	# BOX DRAWINGS LIGHT DOWN AND LEFT
0xC0	0x2514	# BOX DRAWINGS LIGHT UP AND RIGHT
0xC1	0x2534	# BOX DRAWINGS LIGHT UP AND HORIZONTAL
0xC2	0x252C	# BOX DRAWINGS LIGHT DOWN AND HORIZONTAL
0xC3	0x251C	# BOX DRAWINGS LIGHT VERTICAL AND RIGHT
0xC4	0x2500	# BOX DRAWINGS LIGHT HORIZONTAL
0xC5	0x253C	# BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL
0xC6	0x0102	# LATIN CAPITAL LETTER A WITH BREVE
0xC7	0x0103	# LATIN SMALL LETTER A WITH BREVE
0xC8	0x255A	# BOX DRAWINGS DOUBLE UP AND RIGHT
0xC9	0x2554	# BOX DRAWINGS DOUBLE DOWN AND RIGHT
0xCA	0x2569	# BOX DRAWINGS DOUBLE UP AND HORIZONTAL
0xCB	0x2566	# BOX DRAWINGS DOUBLE DOWN AND HORIZONTAL
0xCC	0x2560	# BOX DRAWINGS DOUBLE VERTICAL AND RIGHT
0xCD	0x2550	# BOX DRAWINGS DOUBLE HORIZONTAL
0xCE	0x256C	# BOX DRAWINGS DOUBLE VERTICAL AND HORIZONTAL
0xCF	0x00A4	# CURRENCY SIGN
0xD0	0x0111	# LATIN SMALL LETTER D WITH STROKE
0xD1	0x0110	# LATIN CAPITAL LETTER D WITH STROKE
0xD2	0x010E	# LATIN CAPITAL LETTER D WITH CARON
0xD3	0x00CB	# LATIN CAPITAL LETTER E WITH DIAERESIS
0xD4	0x010F	# LATIN SMALL LETTER D WITH CARON
0xD5	0x0147	# LATIN CAPITAL LETTER N WITH CARON
0xD6	0x00CD	# LATIN CAPITAL LETTER I WITH ACUTE
0xD7	0x00CE	# LATIN CAPITAL LETTER I WITH CIRCUMFLEX
0xD8	0x011B	# LATIN SMALL LETTER E WITH CARON
0xD9	0x2518	# BOX DRAWINGS LIGHT UP AND LEFT
0xDA	0x250C	# BOX DRAWINGS LIGHT DOWN AND RIGHT
0xDB	0x2588	# FULL BLOCK
0xDC	0x2584	# LOWER HALF BLOCK
0xDD	0x0162	# LATIN CAPITAL LETTER T WITH CEDILLA
0xDE	0x016E	# LATIN CAPITAL LETTER U WITH RING ABOVE
0xDF	0x2580	# UPPER HALF BLOCK
0xE0	0x00D3	# LATIN CAPITAL LETTER O WITH ACUTE
0xE1	0x00DF	# LATIN SMALL LETTER SHARP S
0xE2	0x00D4	# LATIN CAPITAL LETTER O WITH CIRCUMFLEX
0xE3	0x0143	# LATIN CAPITAL LETTER N WITH ACUTE
0xE4	0x0144	# LATIN SMALL LETTER N WITH ACUTE
0xE5	0x0148	# LATIN SMALL LETTER N WITH CARON
0xE6	0x0160	# LATIN CAPITAL LETTER S WITH CARON
0xE7	0x0161	# LATIN SMALL LETTER S WITH CARON
0xE8	0x0154	# LATIN CAPITAL LETTER R WITH ACUTE
0xE9	0x00DA	# LATIN CAPITAL LETTER U WITH ACUTE
0xEA	0x0155	# LATIN SMALL LETTER R WITH ACUTE
0xEB	0x0170	# LATIN CAPITAL LETTER U WITH DOUBLE ACUTE
0xEC	0x00FD	# LATIN SMALL LETTER Y WITH ACUTE
0xED	0x00DD	# LATIN CAPITAL LETTER Y WITH ACUTE
0xEE	0x0163	# LATIN SMALL LETTER T WITH CEDILLA
0xEF	0x00B4	# ACUTE ACCENT
0xF0	0x00AD	# SOFT HYPHEN
0xF1	0x02DD	# DOUBLE ACUTE ACCENT
0xF2	0x02DB	# OGONEK
0xF3	0x02C7	# CARON
0xF4	0x02D8	# BREVE
0xF5	0x00A7	# SECTION SIGN
0xF6	0x00F7	# DIVISION SIGN
0xF7	0x00B8	# CEDILLA
0xF8	0x00B0	# DEGREE SIGN
0xF9	0x00A8	# DIAERESIS
0xFA	0x02D9	# DOT ABOVE
0xFB	0x0171	# LATIN SMALL LETTER U WITH DOUBLE ACUTE
0xFC	0x0158	# LATIN CAPITAL LETTER R WITH CARON
0xFD	0x0159	# LATIN SMALL LETTER R WITH CARON
0xFE	0x25A0	# BLACK SQUARE
0xFF	0x00A0	# NO-BREAK SPACE
