@category	MS-DOS
@display	CP737 (DOS Greek)
@name	CP737
@alias	DOS 737
@alias	DOS CP737
@alias	DOS Greek
@codepage	737
@filename-kte	cp737.kte
@filename-txt	VENDORS/MICSFT/PC/CP737.TXT
@verify-against	http://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/PC/CP737.TXT
@cite-author	Shawn Steele
@cite-title	cp737_DOSGreek to Unicode table
@cite-publisher	Microsoft Corp.
@cite-date	24 Apr 1996
@cite-url	http://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/PC/CP737.TXT
@import	fragments/ascii-all.txt
0x9B	0x03B4	# GREEK SMALL LETTER DELTA
0x9C	0x03B5	# GREEK SMALL LETTER EPSILON
0x9D	0x03B6	# GREEK SMALL LETTER ZETA
0x9E	0x03B7	# GREEK SMALL LETTER ETA
0x9F	0x03B8	# GREEK SMALL LETTER THETA
0xA0	0x03B9	# GREEK SMALL LETTER IOTA
0xA1	0x03BA	# GREEK SMALL LETTER KAPPA
0xA2	0x03BB	# GREEK SMALL LETTER LAMDA
0xA3	0x03BC	# GREEK SMALL LETTER MU
0xA4	0x03BD	# GREEK SMALL LETTER NU
0xA5	0x03BE	# GREEK SMALL LETTER XI
0xA6	0x03BF	# GREEK SMALL LETTER OMICRON
0xA7	0x03C0	# GREEK SMALL LETTER PI
0xA8	0x03C1	# GREEK SMALL LETTER RHO
0xA9	0x03C3	# GREEK SMALL LETTER SIGMA
0xAA	0x03C2	# GREEK SMALL LETTER FINAL SIGMA
0xAB	0x03C4	# GREEK SMALL LETTER TAU
0xAC	0x03C5	# GREEK SMALL LETTER UPSILON
0xAD	0x03C6	# GREEK SMALL LETTER PHI
0xAE	0x03C7	# GREEK SMALL LETTER CHI
0xAF	0x03C8	# GREEK SMALL LETTER PSI
0xB0	0x2591	# LIGHT SHADE
0xB1	0x2592	# MEDIUM SHADE
0xB2	0x2593	# DARK SHADE
0xB3	0x2502	# BOX DRAWINGS LIGHT VERTICAL
0xB4	0x2524	# BOX DRAWINGS LIGHT VERTICAL AND LEFT
0xB5	0x2561	# BOX DRAWINGS VERTICAL SINGLE AND LEFT DOUBLE
0xB6	0x2562	# BOX DRAWINGS VERTICAL DOUBLE AND LEFT SINGLE
0xB7	0x2556	# BOX DRAWINGS DOWN DOUBLE AND LEFT SINGLE
0xB8	0x2555	# BOX DRAWINGS DOWN SINGLE AND LEFT DOUBLE
0xB9	0x2563	# BOX DRAWINGS DOUBLE VERTICAL AND LEFT
0xBA	0x2551	# BOX DRAWINGS DOUBLE VERTICAL
0xBB	0x2557	# BOX DRAWINGS DOUBLE DOWN AND LEFT
0xBC	0x255D	# BOX DRAWINGS DOUBLE UP AND LEFT
0xBD	0x255C	# BOX DRAWINGS UP DOUBLE AND LEFT SINGLE
0xBE	0x255B	# BOX DRAWINGS UP SINGLE AND LEFT DOUBLE
0xBF	0x2510	# BOX DRAWINGS LIGHT DOWN AND LEFT
0xC0	0x2514	# BOX DRAWINGS LIGHT UP AND RIGHT
0xC1	0x2534	# BOX DRAWINGS LIGHT UP AND HORIZONTAL
0xC2	0x252C	# BOX DRAWINGS LIGHT DOWN AND HORIZONTAL
0xC3	0x251C	# BOX DRAWINGS LIGHT VERTICAL AND RIGHT
0xC4	0x2500	# BOX DRAWINGS LIGHT HORIZONTAL
0xC5	0x253C	# BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL
0xC6	0x255E	# BOX DRAWINGS VERTICAL SINGLE AND RIGHT DOUBLE
0xC7	0x255F	# BOX DRAWINGS VERTICAL DOUBLE AND RIGHT SINGLE
0xC8	0x255A	# BOX DRAWINGS DOUBLE UP AND RIGHT
0xC9	0x2554	# BOX DRAWINGS DOUBLE DOWN AND RIGHT
0xCA	0x2569	# BOX DRAWINGS DOUBLE UP AND HORIZONTAL
0xCB	0x2566	# BOX DRAWINGS DOUBLE DOWN AND HORIZONTAL
0xCC	0x2560	# BOX DRAWINGS DOUBLE VERTICAL AND RIGHT
0xCD	0x2550	# BOX DRAWINGS DOUBLE HORIZONTAL
0xCE	0x256C	# BOX DRAWINGS DOUBLE VERTICAL AND HORIZONTAL
0xCF	0x2567	# BOX DRAWINGS UP SINGLE AND HORIZONTAL DOUBLE
0xD0	0x2568	# BOX DRAWINGS UP DOUBLE AND HORIZONTAL SINGLE
0xD1	0x2564	# BOX DRAWINGS DOWN SINGLE AND HORIZONTAL DOUBLE
0xD2	0x2565	# BOX DRAWINGS DOWN DOUBLE AND HORIZONTAL SINGLE
0xD3	0x2559	# BOX DRAWINGS UP DOUBLE AND RIGHT SINGLE
0xD4	0x2558	# BOX DRAWINGS UP SINGLE AND RIGHT DOUBLE
0xD5	0x2552	# BOX DRAWINGS DOWN SINGLE AND RIGHT DOUBLE
0xD6	0x2553	# BOX DRAWINGS DOWN DOUBLE AND RIGHT SINGLE
0xD7	0x256B	# BOX DRAWINGS VERTICAL DOUBLE AND HORIZONTAL SINGLE
0xD8	0x256A	# BOX DRAWINGS VERTICAL SINGLE AND HORIZONTAL DOUBLE
0xD9	0x2518	# BOX DRAWINGS LIGHT UP AND LEFT
0xDA	0x250C	# BOX DRAWINGS LIGHT DOWN AND RIGHT
0xDB	0x2588	# FULL BLOCK
0xDC	0x2584	# LOWER HALF BLOCK
0xDD	0x258C	# LEFT HALF BLOCK
0xDE	0x2590	# RIGHT HALF BLOCK
0xDF	0x2580	# UPPER HALF BLOCK
0xE0	0x03C9	# GREEK SMALL LETTER OMEGA
0xE1	0x03AC	# GREEK SMALL LETTER ALPHA WITH TONOS
0xE2	0x03AD	# GREEK SMALL LETTER EPSILON WITH TONOS
0xE3	0x03AE	# GREEK SMALL LETTER ETA WITH TONOS
0xE4	0x03CA	# GREEK SMALL LETTER IOTA WITH DIALYTIKA
0xE5	0x03AF	# GREEK SMALL LETTER IOTA WITH TONOS
0xE6	0x03CC	# GREEK SMALL LETTER OMICRON WITH TONOS
0xE7	0x03CD	# GREEK SMALL LETTER UPSILON WITH TONOS
0xE8	0x03CB	# GREEK SMALL LETTER UPSILON WITH DIALYTIKA
0xE9	0x03CE	# GREEK SMALL LETTER OMEGA WITH TONOS
0xEA	0x0386	# GREEK CAPITAL LETTER ALPHA WITH TONOS
0xEB	0x0388	# GREEK CAPITAL LETTER EPSILON WITH TONOS
0xEC	0x0389	# GREEK CAPITAL LETTER ETA WITH TONOS
0xED	0x038A	# GREEK CAPITAL LETTER IOTA WITH TONOS
0xEE	0x038C	# GREEK CAPITAL LETTER OMICRON WITH TONOS
0xEF	0x038E	# GREEK CAPITAL LETTER UPSILON WITH TONOS
0xF0	0x038F	# GREEK CAPITAL LETTER OMEGA WITH TONOS
0xF1	0x00B1	# PLUS-MINUS SIGN
0xF2	0x2265	# GREATER-THAN OR EQUAL TO
0xF3	0x2264	# LESS-THAN OR EQUAL TO
0xF4	0x03AA	# GREEK CAPITAL LETTER IOTA WITH DIALYTIKA
0xF5	0x03AB	# GREEK CAPITAL LETTER UPSILON WITH DIALYTIKA
0xF6	0x00F7	# DIVISION SIGN
0xF7	0x2248	# ALMOST EQUAL TO
0xF8	0x00B0	# DEGREE SIGN
0xF9	0x2219	# BULLET OPERATOR
0xFA	0x00B7	# MIDDLE DOT
0xFB	0x221A	# SQUARE ROOT
0xFC	0x207F	# SUPERSCRIPT LATIN SMALL LETTER N
0xFD	0x00B2	# SUPERSCRIPT TWO
0xFE	0x25A0	# BLACK SQUARE
0xFF	0x00A0	# NO-BREAK SPACE
