@category	MS-DOS
@display	CP850 (DOS Latin-1)
@name	CP850
@alias	DOS 850
@alias	DOS CP850
@alias	DOS Latin-1
@charset	IBM850
@charset	cp850
@charset	850
@charset	csPC850Multilingual
@cfstringencoding	1040
@codepage	850
@mibenum	2009
@filename-kte	cp850.kte
@filename-txt	VENDORS/MICSFT/PC/CP850.TXT
@verify-against	http://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/PC/CP850.TXT
@cite-author	Shawn Steele
@cite-title	cp850_DOSLatin1 to Unicode table
@cite-publisher	Microsoft Corp.
@cite-date	24 Apr 1996
@cite-url	http://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/PC/CP850.TXT
@import	fragments/ascii-all.txt
0xA9	0x00AE	# REGISTERED SIGN
0xAA	0x00AC	# NOT SIGN
0xAB	0x00BD	# VULGAR FRACTION ONE HALF
0xAC	0x00BC	# VULGAR FRACTION ONE QUARTER
0xAD	0x00A1	# INVERTED EXCLAMATION MARK
0xAE	0x00AB	# LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
0xAF	0x00BB	# RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
0xB0	0x2591	# LIGHT SHADE
0xB1	0x2592	# MEDIUM SHADE
0xB2	0x2593	# DARK SHADE
0xB3	0x2502	# BOX DRAWINGS LIGHT VERTICAL
0xB4	0x2524	# BOX DRAWINGS LIGHT VERTICAL AND LEFT
0xB5	0x00C1	# LATIN CAPITAL LETTER A WITH ACUTE
0xB6	0x00C2	# LATIN CAPITAL LETTER A WITH CIRCUMFLEX
0xB7	0x00C0	# LATIN CAPITAL LETTER A WITH GRAVE
0xB8	0x00A9	# COPYRIGHT SIGN
0xB9	0x2563	# BOX DRAWINGS DOUBLE VERTICAL AND LEFT
0xBA	0x2551	# BOX DRAWINGS DOUBLE VERTICAL
0xBB	0x2557	# BOX DRAWINGS DOUBLE DOWN AND LEFT
0xBC	0x255D	# BOX DRAWINGS DOUBLE UP AND LEFT
0xBD	0x00A2	# CENT SIGN
0xBE	0x00A5	# YEN SIGN
0xBF	0x2510	# BOX DRAWINGS LIGHT DOWN AND LEFT
0xC0	0x2514	# BOX DRAWINGS LIGHT UP AND RIGHT
0xC1	0x2534	# BOX DRAWINGS LIGHT UP AND HORIZONTAL
0xC2	0x252C	# BOX DRAWINGS LIGHT DOWN AND HORIZONTAL
0xC3	0x251C	# BOX DRAWINGS LIGHT VERTICAL AND RIGHT
0xC4	0x2500	# BOX DRAWINGS LIGHT HORIZONTAL
0xC5	0x253C	# BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL
0xC6	0x00E3	# LATIN SMALL LETTER A WITH TILDE
0xC7	0x00C3	# LATIN CAPITAL LETTER A WITH TILDE
0xC8	0x255A	# BOX DRAWINGS DOUBLE UP AND RIGHT
0xC9	0x2554	# BOX DRAWINGS DOUBLE DOWN AND RIGHT
0xCA	0x2569	# BOX DRAWINGS DOUBLE UP AND HORIZONTAL
0xCB	0x2566	# BOX DRAWINGS DOUBLE DOWN AND HORIZONTAL
0xCC	0x2560	# BOX DRAWINGS DOUBLE VERTICAL AND RIGHT
0xCD	0x2550	# BOX DRAWINGS DOUBLE HORIZONTAL
0xCE	0x256C	# BOX DRAWINGS DOUBLE VERTICAL AND HORIZONTAL
0xCF	0x00A4	# CURRENCY SIGN
0xD0	0x00F0	# LATIN SMALL LETTER ETH
0xD1	0x00D0	# LATIN CAPITAL LETTER ETH
0xD2	0x00CA	# LATIN CAPITAL LETTER E WITH CIRCUMFLEX
0xD3	0x00CB	# LATIN CAPITAL LETTER E WITH DIAERESIS
0xD4	0x00C8	# LATIN CAPITAL LETTER E WITH GRAVE
0xD5	0x0131	# LATIN SMALL LETTER DOTLESS I
0xD6	0x00CD	# LATIN CAPITAL LETTER I WITH ACUTE
0xD7	0x00CE	# LATIN CAPITAL LETTER I WITH CIRCUMFLEX
0xD8	0x00CF	# LATIN CAPITAL LETTER I WITH DIAERESIS
0xD9	0x2518	# BOX DRAWINGS LIGHT UP AND LEFT
0xDA	0x250C	# BOX DRAWINGS LIGHT DOWN AND RIGHT
0xDB	0x2588	# FULL BLOCK
0xDC	0x2584	# LOWER HALF BLOCK
0xDD	0x00A6	# BROKEN BAR
0xDE	0x00CC	# LATIN CAPITAL LETTER I WITH GRAVE
0xDF	0x2580	# UPPER HALF BLOCK
0xE0	0x00D3	# LATIN CAPITAL LETTER O WITH ACUTE
0xE1	0x00DF	# LATIN SMALL LETTER SHARP S
0xE2	0x00D4	# LATIN CAPITAL LETTER O WITH CIRCUMFLEX
0xE3	0x00D2	# LATIN CAPITAL LETTER O WITH GRAVE
0xE4	0x00F5	# LATIN SMALL LETTER O WITH TILDE
0xE5	0x00D5	# LATIN CAPITAL LETTER O WITH TILDE
0xE6	0x00B5	# MICRO SIGN
0xE7	0x00FE	# LATIN SMALL LETTER THORN
0xE8	0x00DE	# LATIN CAPITAL LETTER THORN
0xE9	0x00DA	# LATIN CAPITAL LETTER U WITH ACUTE
0xEA	0x00DB	# LATIN CAPITAL LETTER U WITH CIRCUMFLEX
0xEB	0x00D9	# LATIN CAPITAL LETTER U WITH GRAVE
0xEC	0x00FD	# LATIN SMALL LETTER Y WITH ACUTE
0xED	0x00DD	# LATIN CAPITAL LETTER Y WITH ACUTE
0xEE	0x00AF	# MACRON
0xEF	0x00B4	# ACUTE ACCENT
0xF0	0x00AD	# SOFT HYPHEN
0xF1	0x00B1	# PLUS-MINUS SIGN
0xF2	0x2017	# DOUBLE LOW LINE
0xF3	0x00BE	# VULGAR FRACTION THREE QUARTERS
0xF4	0x00B6	# PILCROW SIGN
0xF5	0x00A7	# SECTION SIGN
0xF6	0x00F7	# DIVISION SIGN
0xF7	0x00B8	# CEDILLA
0xF8	0x00B0	# DEGREE SIGN
0xF9	0x00A8	# DIAERESIS
0xFA	0x00B7	# MIDDLE DOT
0xFB	0x00B9	# SUPERSCRIPT ONE
0xFC	0x00B3	# SUPERSCRIPT THREE
0xFD	0x00B2	# SUPERSCRIPT TWO
0xFE	0x25A0	# BLACK SQUARE
0xFF	0x00A0	# NO-BREAK SPACE
