@category	MS-DOS
@display	CP855 (DOS Cyrillic)
@name	CP855
@alias	DOS 855
@alias	DOS CP855
@alias	DOS Cyrillic
@charset	IBM855
@charset	cp855
@charset	855
@charset	csIBM855
@codepage	855
@mibenum	2046
@filename-kte	cp855.kte
@filename-txt	VENDORS/MICSFT/PC/CP855.TXT
@verify-against	http://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/PC/CP855.TXT
@cite-author	Shawn Steele
@cite-title	cp855_DOSCyrillic to Unicode table
@cite-publisher	Microsoft Corp.
@cite-date	24 Apr 1996
@cite-url	http://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/PC/CP855.TXT
@import	fragments/ascii-all.txt
0xF0	0x00AD	# SOFT HYPHEN
0xF1	0x044B	# CYRILLIC SMALL LETTER YERU
0xF2	0x042B	# CYRILLIC CAPITAL LETTER YERU
0xF3	0x0437	# CYRILLIC SMALL LETTER ZE
0xF4	0x0417	# CYRILLIC CAPITAL LETTER ZE
0xF5	0x0448	# CYRILLIC SMALL LETTER SHA
0xF6	0x0428	# CYRILLIC CAPITAL LETTER SHA
0xF7	0x044D	# CYRILLIC SMALL LETTER E
0xF8	0x042D	# CYRILLIC CAPITAL LETTER E
0xF9	0x0449	# CYRILLIC SMALL LETTER SHCHA
0xFA	0x0429	# CYRILLIC CAPITAL LETTER SHCHA
0xFB	0x0447	# CYRILLIC SMALL LETTER CHE
0xFC	0x0427	# CYRILLIC CAPITAL LETTER CHE
0xFD	0x00A7	# SECTION SIGN
0xFE	0x25A0	# BLACK SQUARE
0xFF	0x00A0	# NO-BREAK SPACE
