@name	JIS X 0201
@charset	JIS_X0201
@charset	X0201
@charset	csHalfWidthKatakana
@mibenum	15
@cfstringencoding	1568
@filename-kte	jis-0201.kte
@filename-txt	OBSOLETE/EASTASIA/JIS/JIS0201.TXT
@verify-against	http://www.unicode.org/Public/MAPPINGS/OBSOLETE/EASTASIA/JIS/JIS0201.TXT
@cite-author	Unicode, Inc.
@cite-title	JIS X 0201 (1976) to Unicode 1.1 Table
@cite-publisher	Unicode, Inc.
@cite-date	8 Mar 1994
@cite-url	http://www.unicode.org/Public/MAPPINGS/OBSOLETE/EASTASIA/JIS/JIS0201.TXT
@cite-copyright	1991-1994 Unicode, Inc.
0xBE	0xFF7E	# HALFWIDTH KATAKANA LETTER SE
0xBF	0xFF7F	# HALFWIDTH KATAKANA LETTER SO
0xC0	0xFF80	# HALFWIDTH KATAKANA LETTER TA
0xC1	0xFF81	# HALFWIDTH KATAKANA LETTER TI
0xC2	0xFF82	# HALFWIDTH KATAKANA LETTER TU
0xC3	0xFF83	# HALFWIDTH KATAKANA LETTER TE
0xC4	0xFF84	# HALFWIDTH KATAKANA LETTER TO
0xC5	0xFF85	# HALFWIDTH KATAKANA LETTER NA
0xC6	0xFF86	# HALFWIDTH KATAKANA LETTER NI
0xC7	0xFF87	# HALFWIDTH KATAKANA LETTER NU
0xC8	0xFF88	# HALFWIDTH KATAKANA LETTER NE
0xC9	0xFF89	# HALFWIDTH KATAKANA LETTER NO
0xCA	0xFF8A	# HALFWIDTH KATAKANA LETTER HA
0xCB	0xFF8B	# HALFWIDTH KATAKANA LETTER HI
0xCC	0xFF8C	# HALFWIDTH KATAKANA LETTER HU
0xCD	0xFF8D	# HALFWIDTH KATAKANA LETTER HE
0xCE	0xFF8E	# HALFWIDTH KATAKANA LETTER HO
0xCF	0xFF8F	# HALFWIDTH KATAKANA LETTER MA
0xD0	0xFF90	# HALFWIDTH KATAKANA LETTER MI
0xD1	0xFF91	# HALFWIDTH KATAKANA LETTER MU
0xD2	0xFF92	# HALFWIDTH KATAKANA LETTER ME
0xD3	0xFF93	# HALFWIDTH KATAKANA LETTER MO
0xD4	0xFF94	# HALFWIDTH KATAKANA LETTER YA
0xD5	0xFF95	# HALFWIDTH KATAKANA LETTER YU
0xD6	0xFF96	# HALFWIDTH KATAKANA LETTER YO
0xD7	0xFF97	# HALFWIDTH KATAKANA LETTER RA
0xD8	0xFF98	# HALFWIDTH KATAKANA LETTER RI
0xD9	0xFF99	# HALFWIDTH KATAKANA LETTER RU
0xDA	0xFF9A	# HALFWIDTH KATAKANA LETTER RE
0xDB	0xFF9B	# HALFWIDTH KATAKANA LETTER RO
0xDC	0xFF9C	# HALFWIDTH KATAKANA LETTER WA
0xDD	0xFF9D	# HALFWIDTH KATAKANA LETTER N
0xDE	0xFF9E	# HALFWIDTH KATAKANA VOICED SOUND MARK
0xDF	0xFF9F	# HALFWIDTH KATAKANA SEMI-VOICED SOUND MARK
