@category	EBCDIC
@display	CP875 (EBCDIC Greek)
@name	CP875
@alias	EBCDIC 875
@alias	IBM Greek
@alias	EBCDIC Greek
@codepage	875
@filename-kte	cp875.kte
@filename-txt	VENDORS/MICSFT/EBCDIC/CP875.TXT
@verify-against	http://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/EBCDIC/CP875.TXT
@cite-author	Shawn Steele
@cite-title	cp875_IBMGreek to Unicode table
@cite-publisher	Microsoft Corp.
@cite-date	24 Apr 1996
@cite-url	http://www.unicode.org/Public/MAPPINGS/VENDORS/MICSFT/EBCDIC/CP875.TXT
0x8A	0x03B1	# GREEK SMALL LETTER ALPHA
0x8B	0x03B2	# GREEK SMALL LETTER BETA
0x8C	0x03B3	# GREEK SMALL LETTER GAMMA
0x8D	0x03B4	# GREEK SMALL LETTER DELTA
0x8E	0x03B5	# GREEK SMALL LETTER EPSILON
0x8F	0x03B6	# GREEK SMALL LETTER ZETA
0x90	0x00B0	# DEGREE SIGN
@import	fragments/ebcdic-lc-jr.txt	# LATIN SMALL LETTER J .. LATIN SMALL LETTER R
0x9A	0x03B7	# GREEK SMALL LETTER ETA
0x9B	0x03B8	# GREEK SMALL LETTER THETA
0x9C	0x03B9	# GREEK SMALL LETTER IOTA
0x9D	0x03BA	# GREEK SMALL LETTER KAPPA
0x9E	0x03BB	# GREEK SMALL LETTER LAMDA
0x9F	0x03BC	# GREEK SMALL LETTER MU
0xA0	0x00B4	# ACUTE ACCENT
0xA1	0x007E	# TILDE
@import	fragments/ebcdic-lc-sz.txt	# LATIN SMALL LETTER S .. LATIN SMALL LETTER Z
0xAA	0x03BD	# GREEK SMALL LETTER NU
0xAB	0x03BE	# GREEK SMALL LETTER XI
0xAC	0x03BF	# GREEK SMALL LETTER OMICRON
0xAD	0x03C0	# GREEK SMALL LETTER PI
0xAE	0x03C1	# GREEK SMALL LETTER RHO
0xAF	0x03C3	# GREEK SMALL LETTER SIGMA
0xB0	0x00A3	# POUND SIGN
0xB1	0x03AC	# GREEK SMALL LETTER ALPHA WITH TONOS
0xB2	0x03AD	# GREEK SMALL LETTER EPSILON WITH TONOS
0xB3	0x03AE	# GREEK SMALL LETTER ETA WITH TONOS
0xB4	0x03CA	# GREEK SMALL LETTER IOTA WITH DIALYTIKA
0xB5	0x03AF	# GREEK SMALL LETTER IOTA WITH TONOS
0xB6	0x03CC	# GREEK SMALL LETTER OMICRON WITH TONOS
0xB7	0x03CD	# GREEK SMALL LETTER UPSILON WITH TONOS
0xB8	0x03CB	# GREEK SMALL LETTER UPSILON WITH DIALYTIKA
0xB9	0x03CE	# GREEK SMALL LETTER OMEGA WITH TONOS
0xBA	0x03C2	# GREEK SMALL LETTER FINAL SIGMA
0xBB	0x03C4	# GREEK SMALL LETTER TAU
0xBC	0x03C5	# GREEK SMALL LETTER UPSILON
0xBD	0x03C6	# GREEK SMALL LETTER PHI
0xBE	0x03C7	# GREEK SMALL LETTER CHI
0xBF	0x03C8	# GREEK SMALL LETTER PSI
0xC0	0x007B	# LEFT CURLY BRACKET
@import	fragments/ebcdic-uc-ai.txt	# LATIN CAPITAL LETTER A .. LATIN CAPITAL LETTER I
0xCA	0x00AD	# SOFT HYPHEN
0xCB	0x03C9	# GREEK SMALL LETTER OMEGA
0xCC	0x0390	# GREEK SMALL LETTER IOTA WITH DIALYTIKA AND TONOS
0xCD	0x03B0	# GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND TONOS
0xCE	0x2018	# LEFT SINGLE QUOTATION MARK
0xCF	0x2015	# HORIZONTAL BAR
0xD0	0x007D	# RIGHT CURLY BRACKET
@import	fragments/ebcdic-uc-jr.txt	# LATIN CAPITAL LETTER J .. LATIN CAPITAL LETTER R
0xDA	0x00B1	# PLUS-MINUS SIGN
0xDB	0x00BD	# VULGAR FRACTION ONE HALF
0xDC	0x001A	# SUBSTITUTE
0xDD	0x0387	# GREEK ANO TELEIA
0xDE	0x2019	# RIGHT SINGLE QUOTATION MARK
0xDF	0x00A6	# BROKEN BAR
0xE0	0x005C	# REVERSE SOLIDUS
0xE1	0x001A	# SUBSTITUTE
@import	fragments/ebcdic-uc-sz.txt	# LATIN CAPITAL LETTER S .. LATIN CAPITAL LETTER Z
0xEA	0x00B2	# SUPERSCRIPT TWO
0xEB	0x00A7	# SECTION SIGN
0xEC	0x001A	# SUBSTITUTE
0xED	0x001A	# SUBSTITUTE
0xEE	0x00AB	# LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
0xEF	0x00AC	# NOT SIGN
@import	fragments/ebcdic-num.txt	# DIGIT ZERO .. DIGIT NINE
0xFA	0x00B3	# SUPERSCRIPT THREE
0xFB	0x00A9	# COPYRIGHT SIGN
0xFC	0x001A	# SUBSTITUTE
0xFD	0x001A	# SUBSTITUTE
0xFE	0x00BB	# RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
@import	fragments/ebcdic-apc.txt	# CONTROL
