@category	EBCDIC
@display	CP424 (EBCDIC Hebrew)
@name	CP424
@alias	EBCDIC 424
@alias	IBM Hebrew
@alias	EBCDIC Hebrew
@charset	IBM424
@charset	cp424
@charset	ebcdic-cp-he
@charset	csIBM424
@codepage	424
@mibenum	2043
@filename-kte	cp424.kte
@filename-txt	VENDORS/MISC/CP424.TXT
@verify-against	http://www.unicode.org/Public/MAPPINGS/VENDORS/MISC/CP424.TXT
@cite-author	Ken Whistler
@cite-title	IBM EBCDIC CP424 (Hebrew) to Unicode table
@cite-publisher	Unicode, Inc.
@cite-date	27 July 1999
@cite-url	http://www.unicode.org/Public/MAPPINGS/VENDORS/MISC/CP424.TXT
@cite-copyright	1998-1999 Unicode, Inc.
0xB0	0x005E	# CIRCUMFLEX ACCENT
0xB1	0x00A3	# POUND SIGN
0xB2	0x00A5	# YEN SIGN
0xB3	0x00B7	# MIDDLE DOT
0xB4	0x00A9	# COPYRIGHT SIGN
0xB5	0x00A7	# SECTION SIGN
0xB6	0x00B6	# PILCROW SIGN
0xB7	0x00BC	# VULGAR FRACTION ONE QUARTER
0xB8	0x00BD	# VULGAR FRACTION ONE HALF
0xB9	0x00BE	# VULGAR FRACTION THREE QUARTERS
0xBA	0x005B	# LEFT SQUARE BRACKET
0xBB	0x005D	# RIGHT SQUARE BRACKET
0xBC	0x00AF	# MACRON
0xBD	0x00A8	# DIAERESIS
0xBE	0x00B4	# ACUTE ACCENT
0xBF	0x00D7	# MULTIPLICATION SIGN
0xC0	0x007B	# LEFT CURLY BRACKET
@import	fragments/ebcdic-uc-ai.txt	# LATIN CAPITAL LETTER A .. LATIN CAPITAL LETTER I
0xCA	0x00AD	# SOFT HYPHEN
0xD0	0x007D	# RIGHT CURLY BRACKET
@import	fragments/ebcdic-uc-jr.txt	# LATIN CAPITAL LETTER J .. LATIN CAPITAL LETTER R
0xDA	0x00B9	# SUPERSCRIPT ONE
0xE0	0x005C	# REVERSE SOLIDUS
0xE1	0x00F7	# DIVISION SIGN
@import	fragments/ebcdic-uc-sz.txt	# LATIN CAPITAL LETTER S .. LATIN CAPITAL LETTER Z
0xEA	0x00B2	# SUPERSCRIPT TWO
@import	fragments/ebcdic-num.txt	# DIGIT ZERO .. DIGIT NINE
0xFA	0x00B3	# SUPERSCRIPT THREE
@import	fragments/ebcdic-apc.txt	# CONTROL
