@category	ISO 8859
@display	ISO 8859-16 (Latin-10)
@name	ISO 8859-16
@alias	8859-16
@alias	ISO Latin-10
@alias	Latin-10
@charset	iso-ir-226
@charset	ISO_8859-16:2001
@charset	ISO_8859-16
@charset	ISO-8859-16
@charset	latin10
@charset	l10
@charset	csISO885916
@mibenum	112
@cfstringencoding	528
@filename-kte	iso-8859-16.kte
@filename-txt	ISO8859/8859-16.TXT
@verify-against	http://www.unicode.org/Public/MAPPINGS/ISO8859/8859-16.TXT
@cite-author	Markus Kuhn
@cite-title	ISO/IEC 8859-16:2001 to Unicode
@cite-publisher	Unicode, Inc.
@cite-date	26 July 2001
@cite-url	http://www.unicode.org/Public/MAPPINGS/ISO8859/8859-16.TXT
@cite-copyright	1999-2001 Unicode, Inc.
@import	fragments/ascii-all.txt
@import	fragments/latin1-c1.txt
0xBF	0x017C	# LATIN SMALL LETTER Z WITH DOT ABOVE
0xC0	0x00C0	# LATIN CAPITAL LETTER A WITH GRAVE
0xC1	0x00C1	# LATIN CAPITAL LETTER A WITH ACUTE
0xC2	0x00C2	# LATIN CAPITAL LETTER A WITH CIRCUMFLEX
0xC3	0x0102	# LATIN CAPITAL LETTER A WITH BREVE
0xC4	0x00C4	# LATIN CAPITAL LETTER A WITH DIAERESIS
0xC5	0x0106	# LATIN CAPITAL LETTER C WITH ACUTE
0xC6	0x00C6	# LATIN CAPITAL LETTER AE
0xC7	0x00C7	# LATIN CAPITAL LETTER C WITH CEDILLA
0xC8	0x00C8	# LATIN CAPITAL LETTER E WITH GRAVE
0xC9	0x00C9	# LATIN CAPITAL LETTER E WITH ACUTE
0xCA	0x00CA	# LATIN CAPITAL LETTER E WITH CIRCUMFLEX
0xCB	0x00CB	# LATIN CAPITAL LETTER E WITH DIAERESIS
0xCC	0x00CC	# LATIN CAPITAL LETTER I WITH GRAVE
0xCD	0x00CD	# LATIN CAPITAL LETTER I WITH ACUTE
0xCE	0x00CE	# LATIN CAPITAL LETTER I WITH CIRCUMFLEX
0xCF	0x00CF	# LATIN CAPITAL LETTER I WITH DIAERESIS
0xD0	0x0110	# LATIN CAPITAL LETTER D WITH STROKE
0xD1	0x0143	# LATIN CAPITAL LETTER N WITH ACUTE
0xD2	0x00D2	# LATIN CAPITAL LETTER O WITH GRAVE
0xD3	0x00D3	# LATIN CAPITAL LETTER O WITH ACUTE
0xD4	0x00D4	# LATIN CAPITAL LETTER O WITH CIRCUMFLEX
0xD5	0x0150	# LATIN CAPITAL LETTER O WITH DOUBLE ACUTE
0xD6	0x00D6	# LATIN CAPITAL LETTER O WITH DIAERESIS
0xD7	0x015A	# LATIN CAPITAL LETTER S WITH ACUTE
0xD8	0x0170	# LATIN CAPITAL LETTER U WITH DOUBLE ACUTE
0xD9	0x00D9	# LATIN CAPITAL LETTER U WITH GRAVE
0xDA	0x00DA	# LATIN CAPITAL LETTER U WITH ACUTE
0xDB	0x00DB	# LATIN CAPITAL LETTER U WITH CIRCUMFLEX
0xDC	0x00DC	# LATIN CAPITAL LETTER U WITH DIAERESIS
0xDD	0x0118	# LATIN CAPITAL LETTER E WITH OGONEK
0xDE	0x021A	# LATIN CAPITAL LETTER T WITH COMMA BELOW
0xDF	0x00DF	# LATIN SMALL LETTER SHARP S
0xE0	0x00E0	# LATIN SMALL LETTER A WITH GRAVE
0xE1	0x00E1	# LATIN SMALL LETTER A WITH ACUTE
0xE2	0x00E2	# LATIN SMALL LETTER A WITH CIRCUMFLEX
0xE3	0x0103	# LATIN SMALL LETTER A WITH BREVE
0xE4	0x00E4	# LATIN SMALL LETTER A WITH DIAERESIS
0xE5	0x0107	# LATIN SMALL LETTER C WITH ACUTE
0xE6	0x00E6	# LATIN SMALL LETTER AE
0xE7	0x00E7	# LATIN SMALL LETTER C WITH CEDILLA
0xE8	0x00E8	# LATIN SMALL LETTER E WITH GRAVE
0xE9	0x00E9	# LATIN SMALL LETTER E WITH ACUTE
0xEA	0x00EA	# LATIN SMALL LETTER E WITH CIRCUMFLEX
0xEB	0x00EB	# LATIN SMALL LETTER E WITH DIAERESIS
0xEC	0x00EC	# LATIN SMALL LETTER I WITH GRAVE
0xED	0x00ED	# LATIN SMALL LETTER I WITH ACUTE
0xEE	0x00EE	# LATIN SMALL LETTER I WITH CIRCUMFLEX
0xEF	0x00EF	# LATIN SMALL LETTER I WITH DIAERESIS
0xF0	0x0111	# LATIN SMALL LETTER D WITH STROKE
0xF1	0x0144	# LATIN SMALL LETTER N WITH ACUTE
0xF2	0x00F2	# LATIN SMALL LETTER O WITH GRAVE
0xF3	0x00F3	# LATIN SMALL LETTER O WITH ACUTE
0xF4	0x00F4	# LATIN SMALL LETTER O WITH CIRCUMFLEX
0xF5	0x0151	# LATIN SMALL LETTER O WITH DOUBLE ACUTE
0xF6	0x00F6	# LATIN SMALL LETTER O WITH DIAERESIS
0xF7	0x015B	# LATIN SMALL LETTER S WITH ACUTE
0xF8	0x0171	# LATIN SMALL LETTER U WITH DOUBLE ACUTE
0xF9	0x00F9	# LATIN SMALL LETTER U WITH GRAVE
0xFA	0x00FA	# LATIN SMALL LETTER U WITH ACUTE
0xFB	0x00FB	# LATIN SMALL LETTER U WITH CIRCUMFLEX
0xFC	0x00FC	# LATIN SMALL LETTER U WITH DIAERESIS
0xFD	0x0119	# LATIN SMALL LETTER E WITH OGONEK
0xFE	0x021B	# LATIN SMALL LETTER T WITH COMMA BELOW
0xFF	0x00FF	# LATIN SMALL LETTER Y WITH DIAERESIS
