@category	Mac OS Classic
@name	Mac OS Gujarati
@alias	MacGujarati
@charset	x-mac-gujarati
@codepage	10011
@cfstringencoding	11
@filename-kte	macgujarati.kte
@filename-txt	VENDORS/APPLE/GUJARATI.TXT
@verify-against	http://www.unicode.org/Public/MAPPINGS/VENDORS/APPLE/GUJARATI.TXT
@cite-author	Apple, Inc.
@cite-title	Map (external version) from Mac OS Gujarati character set to Unicode 2.1 and later.
@cite-publisher	Apple, Inc.
@cite-date	5 Apr 2005
@cite-url	http://www.unicode.org/Public/MAPPINGS/VENDORS/APPLE/GUJARATI.TXT
@cite-copyright	1997-2002, 2005 Apple, Inc.
@import	fragments/ascii-all.txt
0xE6	0x0ACC	# GUJARATI VOWEL SIGN AU
0xE7	0x0AC9	# GUJARATI VOWEL SIGN CANDRA O
0xE8	0x0ACD	# GUJARATI SIGN VIRAMA
0xE8E8	0x0ACD+0x200C	# GUJARATI SIGN VIRAMA, ZERO WIDTH NON-JOINER
0xE8E9	0x0ACD+0x200D	# GUJARATI SIGN VIRAMA, ZERO WIDTH JOINER
0xE9	0x0ABC	# GUJARATI SIGN NUKTA
0xEA	0x0964	# DEVANAGARI DANDA
0xF1	0x0AE6	# GUJARATI DIGIT ZERO
0xF2	0x0AE7	# GUJARATI DIGIT ONE
0xF3	0x0AE8	# GUJARATI DIGIT TWO
0xF4	0x0AE9	# GUJARATI DIGIT THREE
0xF5	0x0AEA	# GUJARATI DIGIT FOUR
0xF6	0x0AEB	# GUJARATI DIGIT FIVE
0xF7	0x0AEC	# GUJARATI DIGIT SIX
0xF8	0x0AED	# GUJARATI DIGIT SEVEN
0xF9	0x0AEE	# GUJARATI DIGIT EIGHT
0xFA	0x0AEF	# GUJARATI DIGIT NINE
