@category	Mac OS Classic
@name	Mac OS Central European
@alias	MacCentralEuropean
@charset	x-mac-centraleurroman
@codepage	1282
@codepage	10029
@cfstringencoding	29
@filename-kte	maccentraleuropean.kte
@filename-txt	VENDORS/APPLE/CENTEURO.TXT
@verify-against	http://www.unicode.org/Public/MAPPINGS/VENDORS/APPLE/CENTEURO.TXT
@cite-author	Apple, Inc.
@cite-title	Map (external version) from Mac OS Central European character set to Unicode 2.1 and later.
@cite-publisher	Apple, Inc.
@cite-date	4 Apr 2005
@cite-url	http://www.unicode.org/Public/MAPPINGS/VENDORS/APPLE/CENTEURO.TXT
@cite-copyright	1995-2002, 2005 Apple, Inc.
@import	fragments/ascii-all.txt
0xE2	0x201A	# SINGLE LOW-9 QUOTATION MARK
0xE3	0x201E	# DOUBLE LOW-9 QUOTATION MARK
0xE4	0x0161	# LATIN SMALL LETTER S WITH CARON
0xE5	0x015A	# LATIN CAPITAL LETTER S WITH ACUTE
0xE6	0x015B	# LATIN SMALL LETTER S WITH ACUTE
0xE7	0x00C1	# LATIN CAPITAL LETTER A WITH ACUTE
0xE8	0x0164	# LATIN CAPITAL LETTER T WITH CARON
0xE9	0x0165	# LATIN SMALL LETTER T WITH CARON
0xEA	0x00CD	# LATIN CAPITAL LETTER I WITH ACUTE
0xEB	0x017D	# LATIN CAPITAL LETTER Z WITH CARON
0xEC	0x017E	# LATIN SMALL LETTER Z WITH CARON
0xED	0x016A	# LATIN CAPITAL LETTER U WITH MACRON
0xEE	0x00D3	# LATIN CAPITAL LETTER O WITH ACUTE
0xEF	0x00D4	# LATIN CAPITAL LETTER O WITH CIRCUMFLEX
0xF0	0x016B	# LATIN SMALL LETTER U WITH MACRON
0xF1	0x016E	# LATIN CAPITAL LETTER U WITH RING ABOVE
0xF2	0x00DA	# LATIN CAPITAL LETTER U WITH ACUTE
0xF3	0x016F	# LATIN SMALL LETTER U WITH RING ABOVE
0xF4	0x0170	# LATIN CAPITAL LETTER U WITH DOUBLE ACUTE
0xF5	0x0171	# LATIN SMALL LETTER U WITH DOUBLE ACUTE
0xF6	0x0172	# LATIN CAPITAL LETTER U WITH OGONEK
0xF7	0x0173	# LATIN SMALL LETTER U WITH OGONEK
0xF8	0x00DD	# LATIN CAPITAL LETTER Y WITH ACUTE
0xF9	0x00FD	# LATIN SMALL LETTER Y WITH ACUTE
0xFA	0x0137	# LATIN SMALL LETTER K WITH CEDILLA
0xFB	0x017B	# LATIN CAPITAL LETTER Z WITH DOT ABOVE
0xFC	0x0141	# LATIN CAPITAL LETTER L WITH STROKE
0xFD	0x017C	# LATIN SMALL LETTER Z WITH DOT ABOVE
0xFE	0x0122	# LATIN CAPITAL LETTER G WITH CEDILLA
0xFF	0x02C7	# CARON
