@category	Mac OS Classic
@name	Mac OS Devanagari
@alias	MacDevanagari
@charset	x-mac-devanagari
@cfstringencoding	9
@filename-kte	macdevanagari.kte
@filename-txt	VENDORS/APPLE/DEVANAGA.TXT
@verify-against	http://www.unicode.org/Public/MAPPINGS/VENDORS/APPLE/DEVANAGA.TXT
@cite-author	Apple, Inc.
@cite-title	Map (external version) from Mac OS Devanagari character set to Unicode 2.1 and later.
@cite-publisher	Apple, Inc.
@cite-date	5 Apr 2005
@cite-url	http://www.unicode.org/Public/MAPPINGS/VENDORS/APPLE/DEVANAGA.TXT
@cite-copyright	1995-2002, 2005 Apple, Inc.
@import	fragments/ascii-all.txt
0xDBE9	0x0962	# DEVANAGARI VOWEL SIGN VOCALIC L
0xDC	0x0940	# DEVANAGARI VOWEL SIGN II
0xDCE9	0x0963	# DEVANAGARI VOWEL SIGN VOCALIC LL
0xDD	0x0941	# DEVANAGARI VOWEL SIGN U
0xDE	0x0942	# DEVANAGARI VOWEL SIGN UU
0xDF	0x0943	# DEVANAGARI VOWEL SIGN VOCALIC R
0xDFE9	0x0944	# DEVANAGARI VOWEL SIGN VOCALIC RR
0xE0	0x0946	# DEVANAGARI VOWEL SIGN SHORT E
0xE1	0x0947	# DEVANAGARI VOWEL SIGN E
0xE2	0x0948	# DEVANAGARI VOWEL SIGN AI
0xE3	0x0945	# DEVANAGARI VOWEL SIGN CANDRA E
0xE4	0x094A	# DEVANAGARI VOWEL SIGN SHORT O
0xE5	0x094B	# DEVANAGARI VOWEL SIGN O
0xE6	0x094C	# DEVANAGARI VOWEL SIGN AU
0xE7	0x0949	# DEVANAGARI VOWEL SIGN CANDRA O
0xE8	0x094D	# DEVANAGARI SIGN VIRAMA
0xE8E8	0x094D+0x200C	# DEVANAGARI SIGN VIRAMA, ZERO WIDTH NON-JOINER
0xE8E9	0x094D+0x200D	# DEVANAGARI SIGN VIRAMA, ZERO WIDTH JOINER
0xE9	0x093C	# DEVANAGARI SIGN NUKTA
0xEA	0x0964	# DEVANAGARI DANDA
0xEAE9	0x093D	# DEVANAGARI SIGN AVAGRAHA
0xF1	0x0966	# DEVANAGARI DIGIT ZERO
0xF2	0x0967	# DEVANAGARI DIGIT ONE
0xF3	0x0968	# DEVANAGARI DIGIT TWO
0xF4	0x0969	# DEVANAGARI DIGIT THREE
0xF5	0x096A	# DEVANAGARI DIGIT FOUR
0xF6	0x096B	# DEVANAGARI DIGIT FIVE
0xF7	0x096C	# DEVANAGARI DIGIT SIX
0xF8	0x096D	# DEVANAGARI DIGIT SEVEN
0xF9	0x096E	# DEVANAGARI DIGIT EIGHT
0xFA	0x096F	# DEVANAGARI DIGIT NINE
