@category	Mac OS Classic
@name	Mac OS Inuit
@alias	MacInuit
@filename-kte	macinuit.kte
@filename-txt	VENDORS/APPLE/INUIT.TXT
@verify-against	http://www.unicode.org/Public/MAPPINGS/VENDORS/APPLE/INUIT.TXT
@cite-author	Apple, Inc.
@cite-title	Map (external version) from Mac OS Inuit character set to Unicode 3.0 and later.
@cite-publisher	Apple, Inc.
@cite-date	1 Apr 2005
@cite-url	http://www.unicode.org/Public/MAPPINGS/VENDORS/APPLE/INUIT.TXT
@cite-copyright	2005 Apple, Inc.
@import	fragments/ascii-all.txt
0xC8	0x152D	# CANADIAN SYLLABICS YA
0xC9	0x2026	# HORIZONTAL ELLIPSIS
0xCA	0x00A0	# NO-BREAK SPACE
0xCB	0x152E	# CANADIAN SYLLABICS YAA
0xCC	0x153E	# CANADIAN SYLLABICS Y
0xCD	0x1555	# CANADIAN SYLLABICS FI
0xCE	0x1556	# CANADIAN SYLLABICS FII
0xCF	0x1557	# CANADIAN SYLLABICS FO
0xD0	0x2013	# EN DASH
0xD1	0x2014	# EM DASH
0xD2	0x201C	# LEFT DOUBLE QUOTATION MARK
0xD3	0x201D	# RIGHT DOUBLE QUOTATION MARK
0xD4	0x2018	# LEFT SINGLE QUOTATION MARK
0xD5	0x2019	# RIGHT SINGLE QUOTATION MARK
0xD6	0x1558	# CANADIAN SYLLABICS FOO
0xD7	0x1559	# CANADIAN SYLLABICS FA
0xD8	0x155A	# CANADIAN SYLLABICS FAA
0xD9	0x155D	# CANADIAN SYLLABICS F
0xDA	0x1546	# CANADIAN SYLLABICS RI
0xDB	0x1547	# CANADIAN SYLLABICS RII
0xDC	0x1548	# CANADIAN SYLLABICS RO
0xDD	0x1549	# CANADIAN SYLLABICS ROO
0xDE	0x154B	# CANADIAN SYLLABICS RA
0xDF	0x154C	# CANADIAN SYLLABICS RAA
0xE0	0x1550	# CANADIAN SYLLABICS R
0xE1	0x157F	# CANADIAN SYLLABICS QI
0xE2	0x1580	# CANADIAN SYLLABICS QII
0xE3	0x1581	# CANADIAN SYLLABICS QO
0xE4	0x1582	# CANADIAN SYLLABICS QOO
0xE5	0x1583	# CANADIAN SYLLABICS QA
0xE6	0x1584	# CANADIAN SYLLABICS QAA
0xE7	0x1585	# CANADIAN SYLLABICS Q
0xE8	0x158F	# CANADIAN SYLLABICS NGI
0xE9	0x1590	# CANADIAN SYLLABICS NGII
0xEA	0x1591	# CANADIAN SYLLABICS NGO
0xEB	0x1592	# CANADIAN SYLLABICS NGOO
0xEC	0x1593	# CANADIAN SYLLABICS NGA
0xED	0x1594	# CANADIAN SYLLABICS NGAA
0xEE	0x1595	# CANADIAN SYLLABICS NG
0xEF	0x1671	# CANADIAN SYLLABICS NNGI
0xF0	0x1672	# CANADIAN SYLLABICS NNGII
0xF1	0x1673	# CANADIAN SYLLABICS NNGO
0xF2	0x1674	# CANADIAN SYLLABICS NNGOO
0xF3	0x1675	# CANADIAN SYLLABICS NNGA
0xF4	0x1676	# CANADIAN SYLLABICS NNGAA
0xF5	0x1596	# CANADIAN SYLLABICS NNG
0xF6	0x15A0	# CANADIAN SYLLABICS LHI
0xF7	0x15A1	# CANADIAN SYLLABICS LHII
0xF8	0x15A2	# CANADIAN SYLLABICS LHO
0xF9	0x15A3	# CANADIAN SYLLABICS LHOO
0xFA	0x15A4	# CANADIAN SYLLABICS LHA
0xFB	0x15A5	# CANADIAN SYLLABICS LHAA
0xFC	0x15A6	# CANADIAN SYLLABICS LH
0xFD	0x157C	# CANADIAN SYLLABICS NUNAVUT H
0xFE	0x0141	# LATIN CAPITAL LETTER L WITH STROKE
0xFF	0x0142	# LATIN SMALL LETTER L WITH STROKE
