@category	Mac OS Classic
@name	Mac OS Greek
@alias	MacGreek
@filename-kte	macgreek.kte
@filename-txt	VENDORS/APPLE/GREEK.TXT
@verify-against	http://www.unicode.org/Public/MAPPINGS/VENDORS/APPLE/GREEK.TXT
@cite-author	Apple, Inc.
@cite-title	Map (external version) from Mac OS Greek character set to Unicode 2.1 and later.
@cite-publisher	Apple, Inc.
@cite-date	5 Apr 2005
@cite-url	http://www.unicode.org/Public/MAPPINGS/VENDORS/APPLE/GREEK.TXT
@cite-copyright	1995-2002, 2005 Apple, Inc.
@import	fragments/ascii-all.txt
0xB0	0x0391	# GREEK CAPITAL LETTER ALPHA
0xB1	0x00B1	# PLUS-MINUS SIGN
0xB2	0x2264	# LESS-THAN OR EQUAL TO
0xB3	0x2265	# GREATER-THAN OR EQUAL TO
0xB4	0x00A5	# YEN SIGN
0xB5	0x0392	# GREEK CAPITAL LETTER BETA
0xB6	0x0395	# GREEK CAPITAL LETTER EPSILON
0xB7	0x0396	# GREEK CAPITAL LETTER ZETA
0xB8	0x0397	# GREEK CAPITAL LETTER ETA
0xB9	0x0399	# GREEK CAPITAL LETTER IOTA
0xBA	0x039A	# GREEK CAPITAL LETTER KAPPA
0xBB	0x039C	# GREEK CAPITAL LETTER MU
0xBC	0x03A6	# GREEK CAPITAL LETTER PHI
0xBD	0x03AB	# GREEK CAPITAL LETTER UPSILON WITH DIALYTIKA
0xBE	0x03A8	# GREEK CAPITAL LETTER PSI
0xBF	0x03A9	# GREEK CAPITAL LETTER OMEGA
0xC0	0x03AC	# GREEK SMALL LETTER ALPHA WITH TONOS
0xC1	0x039D	# GREEK CAPITAL LETTER NU
0xC2	0x00AC	# NOT SIGN
0xC3	0x039F	# GREEK CAPITAL LETTER OMICRON
0xC4	0x03A1	# GREEK CAPITAL LETTER RHO
0xC5	0x2248	# ALMOST EQUAL TO
0xC6	0x03A4	# GREEK CAPITAL LETTER TAU
0xC7	0x00AB	# LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
0xC8	0x00BB	# RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
0xC9	0x2026	# HORIZONTAL ELLIPSIS
0xCA	0x00A0	# NO-BREAK SPACE
0xCB	0x03A5	# GREEK CAPITAL LETTER UPSILON
0xCC	0x03A7	# GREEK CAPITAL LETTER CHI
0xCD	0x0386	# GREEK CAPITAL LETTER ALPHA WITH TONOS
0xCE	0x0388	# GREEK CAPITAL LETTER EPSILON WITH TONOS
0xCF	0x0153	# LATIN SMALL LIGATURE OE
0xD0	0x2013	# EN DASH
0xD1	0x2015	# HORIZONTAL BAR
0xD2	0x201C	# LEFT DOUBLE QUOTATION MARK
0xD3	0x201D	# RIGHT DOUBLE QUOTATION MARK
0xD4	0x2018	# LEFT SINGLE QUOTATION MARK
0xD5	0x2019	# RIGHT SINGLE QUOTATION MARK
0xD6	0x00F7	# DIVISION SIGN
0xD7	0x0389	# GREEK CAPITAL LETTER ETA WITH TONOS
0xD8	0x038A	# GREEK CAPITAL LETTER IOTA WITH TONOS
0xD9	0x038C	# GREEK CAPITAL LETTER OMICRON WITH TONOS
0xDA	0x038E	# GREEK CAPITAL LETTER UPSILON WITH TONOS
0xDB	0x03AD	# GREEK SMALL LETTER EPSILON WITH TONOS
0xDC	0x03AE	# GREEK SMALL LETTER ETA WITH TONOS
0xDD	0x03AF	# GREEK SMALL LETTER IOTA WITH TONOS
0xDE	0x03CC	# GREEK SMALL LETTER OMICRON WITH TONOS
0xDF	0x038F	# GREEK CAPITAL LETTER OMEGA WITH TONOS
0xE0	0x03CD	# GREEK SMALL LETTER UPSILON WITH TONOS
0xE1	0x03B1	# GREEK SMALL LETTER ALPHA
0xE2	0x03B2	# GREEK SMALL LETTER BETA
0xE3	0x03C8	# GREEK SMALL LETTER PSI
0xE4	0x03B4	# GREEK SMALL LETTER DELTA
0xE5	0x03B5	# GREEK SMALL LETTER EPSILON
0xE6	0x03C6	# GREEK SMALL LETTER PHI
0xE7	0x03B3	# GREEK SMALL LETTER GAMMA
0xE8	0x03B7	# GREEK SMALL LETTER ETA
0xE9	0x03B9	# GREEK SMALL LETTER IOTA
0xEA	0x03BE	# GREEK SMALL LETTER XI
0xEB	0x03BA	# GREEK SMALL LETTER KAPPA
0xEC	0x03BB	# GREEK SMALL LETTER LAMDA
0xED	0x03BC	# GREEK SMALL LETTER MU
0xEE	0x03BD	# GREEK SMALL LETTER NU
0xEF	0x03BF	# GREEK SMALL LETTER OMICRON
0xF0	0x03C0	# GREEK SMALL LETTER PI
0xF1	0x03CE	# GREEK SMALL LETTER OMEGA WITH TONOS
0xF2	0x03C1	# GREEK SMALL LETTER RHO
0xF3	0x03C3	# GREEK SMALL LETTER SIGMA
0xF4	0x03C4	# GREEK SMALL LETTER TAU
0xF5	0x03B8	# GREEK SMALL LETTER THETA
0xF6	0x03C9	# GREEK SMALL LETTER OMEGA
0xF7	0x03C2	# GREEK SMALL LETTER FINAL SIGMA
0xF8	0x03C7	# GREEK SMALL LETTER CHI
0xF9	0x03C5	# GREEK SMALL LETTER UPSILON
0xFA	0x03B6	# GREEK SMALL LETTER ZETA
0xFB	0x03CA	# GREEK SMALL LETTER IOTA WITH DIALYTIKA
0xFC	0x03CB	# GREEK SMALL LETTER UPSILON WITH DIALYTIKA
0xFD	0x0390	# GREEK SMALL LETTER IOTA WITH DIALYTIKA AND TONOS
0xFE	0x03B0	# GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND TONOS
0xFF	0x00AD	# SOFT HYPHEN
